Ingredients,Allergy name,Allergens
"pecans, sugar (white and brown), non dairy creamer, partially hydrogenated soy bean oil, corn syrup solids, sodium caseinate, dipotassium phosphate, mono & diglycerides, sodium steroyl lacrylate, salt, sodium, calcium alginate, artificial color & flavor, molasses, artificial flavor spice, caramel color, maltodextrin, less than 2% silicon dioxide, and natural bourbon flavor.","dairy allergy (due to sodium caseinate), pecan allergy, soy allergy","milk (from sodium caseinate), pecans, soy"
"brown sugar, cocoa mass, emulsifier (soy lecithin) and artificial vanilla flavor.",soy allergy,soy
"cake mix (sugar, enriched wheat flour, bleached [flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], palm oil, cocoa processed with alkali, dry egg whites, leavening [baking soda, sodium aluminum phosphate, tetrasodium pyrophosphat",none,none
"cured with: water, salt, natural applewood smoke flavoring, sugar, sodium phosphate, sodium erythorbate, sodium nitrite.",none,none
"cured with: water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite.",none,none
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil, (palm, soybean, palm kernel, canola), cocoa (processed with alkali),cornstarch, eggs, modified cornstarch, nonfat milk, leavening (baking soda, sodium acid pyrophosphate, monocalcium phosphate,sodium aluminum phosphate), corn syrup, dextrose, salt, whey (milk), partially hydrogenated vegetable oil (soybean and/or cottonseed), mono- and diglycerides, corn syrup solids, soy lecithin, polyglycerol esters of fatty acids, guar gum, dextrin, potassium sorbate (preservative), natural & artificial flavors, polysorbate 60, confectioner's glaze, glycerin, calcium sulfate, sodium carboxymethylcellulose, sodium stearoyl lactylate, datem, gum arabic, calcium stearoyl-2-lactylate, red 40 lake, yellow 5 lake, yellow 6 lake, carnauba wax, methylcellulose, blue 1 lake, red 3, blue 1, red 40.","dairy allergy, egg allergy, gluten intolerance, lactose intolerance, soy allergy, wheat allergy","eggs, milk, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), cornstarch, eggs, food starch-modified, corn syrup, leavening (baking soda, sodium","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), cornstarch, eggs, food starch-modified, corn syrup, leavening (baking soda, sodium","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), cornstarch, eggs, food starch-modified, corn syrup, leavening (baking soda, sodium acid pyr","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), cornstarch, eggs, food starch-modified, leavening (sodium acid pyrophosphate, baki","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean palm kernel, canola), cocoa (processed with alkali), cornstarch, eggs, food starch-modified, nonfat milk,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, canola and/or palm kernel), food starch-modified, eggs, cornstarch, cocoa (processed with alkali), nonfa","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil [palm, soybean, canola oils, may also contain palm kernel oil], cocoa [processed with alkali], eggs, modified cornstarch","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel,canola), cocoa (processed with alkali), eggs, cornstarch, food starch modified, nonfat milk,","dairy allergy, egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, milk, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), food starch-modified, cornstarch, eggs, corn syrup, leavening (sodium acid pyrophosphate, baking soda, monocalcium phosphate, sodium aluminum phosphate, aluminum sulfate), nonfat milk, egg whites, mono- and diglycerides, salt, whey, soy lecithin, wheat starch, guar gum, gum arabic, polysorbate 60, polyglycerol esters of fatty acids, potassium sorbate (preservative), glycerin, dextrin, sodium stearoyl lactylate, natural & artificial flavors, confectioner's glaze, wheat protein, datem, calcium stearoyl-2-lactylate, xanthan gum, sodium carboxymethylcellulose, methylcellulose, red 3, yellow 6, yellow 5, blue 1, red 40, lake, yellow 5 lake, yellow 6 lake, carnauba wax, blue 1 lake, red 40.","dairy allergy, egg allergy, gluten intolerance, lactose intolerance, soy allergy, wheat allergy","eggs, milk, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel, canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), food starch-modified, corn syrup, eggs, cornstarch, mono- and diglycerides, salt,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel, canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cocoa (processed with alkali), food starch-modified, eggs, corn syrup, cornstarch,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), food starch-modified, eggs, corn syrup, cornstarch, mono- and diglycerides, leaveni","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, canola and/ir palm kernel bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), corn syrup, strawberries, food starch-modified, eggs, cornstarch, natural & ar","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour( flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), food starch-modified, eggs, cornstarch, corn syrup, leavening (sodium acid pyrophoric","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel , canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cocoa (processed with alkali), food starch-modified, eggs, cornstarch, corn syrup","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel, canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), food starch-modified, eggs, coca (processed with alkali), cornstarch, corn syrup,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel, canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), food starch-modified, eggs, cocoa (processed with alkali), cornstarch, corn syrup,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel, canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), food starch-modified, eggs, cocoa (processed with alkali), corn syrup, cornstarch,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), food starch-modified, eggs, cornstarch, corn syrup, mono- and diglycerides, leaven","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel, canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cocoa (processed with alkali), food starch-modified, eggs, cornstarch, corn syrup,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel, canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), food starch-modified eggs, cocoa (processed with alkali), cornstarch, corn syrup","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, canola, and/or palm kernel), cocoa (processed with alkali), eggs, food starch-modified, cornstarch, corn","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), cornstarch, eggs, modified cornstarch, leavening (baking soda, sodium acid pyropho","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), cornstarch, eggs, modified cornstarch, leavening (baking soda, sodium acid pyropho","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), cornstarch, eggs, modified cornstarch, leavening (baking soda, sodium acid pyropho","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), cornstarch, eggs, modified cornstarch, leavening (baking soda, sodium acid pyropho","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (palm, soybean, palm kernel, canola), cornstarch, eggs, modified cornstarch, leavening (baking soda, sodium acid pyropho","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil, (palm soybean, palm kernel, canola), food starch-modified, eggs, cornstarch, cocoa (processed with alkali), corn syrup,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel, canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), food starch-modified, cornstarch, eggs, corn syrup, mono- and diglycerides, salt,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"sugar, water, vegetable oil (palm, soybean, palm kernel, canola), bleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cocoa (processed with alkali), food starch-modified, eggs, cornstarch, corn syrup,","egg allergy, gluten intolerance, soy allergy, wheat allergy","eggs, soy, wheat"
"milk chocolate (sugar, cocoa butter, dry whole milk, chocolate liquor, soy lecithin, vanillin [an artificial flavor], salt), sweetened condensed milk (sucrose, milk fat and milk solids nonfat), corn syrup, butter (pasteurized cream, salt). propylene glyco","dairy allergy, soy allergy","milk, soy"
